"nid","vid","uid","title","body","teaser","log","timestamp","format"
"2","2","3","Home Image 1",,,,"1329271569","0"
"3","3","1","Home Image 2",,,,"1296765538","2"
"4","4","1","Home Image 3",,,,"1296765524","2"
"8","8","1","Programs","<p>content here</p>","<p>content here</p>",,"1303422284","2"
"9","9","1","Home Top 1",,,,"1313177984","2"
"10","10","1","Home Top 2",,,,"1313177984","2"
"11","11","1","Home Top 3",,,,"1313177984","2"
"12","12","1","Home Bottom 1",,,,"1303861326","2"
"13","13","1","Home Bottom 2",,,,"1303861326","2"
"14","14","1","Home Bottom 3",,,,"1303861326","2"
"15","15","1","Sub Right 1",,,,"1295378576","2"
"16","16","1","Sub Right 2",,,,"1295378541","2"
"17","17","1","Sub Right 3",,,,"1295378148","2"
"18","18","1","Sub Right 4",,,,"1295378189","2"
"19","19","1","Sub Right 5",,,,"1295378465","2"
"20","20","1","Sub Right 6",,,,"1295378511","2"
"21","21","1","Sub Left 1",,,,"1295378708","2"
"22","22","1","Sub Left 2",,,,"1295379127","2"
"23","23","1","Sub Left 3",,,,"1295379381","2"
"24","24","1","Sub Left 4",,,,"1295379504","2"
"25","25","1","Sub Left 5",,,,"1295379553","2"
"26","26","1","Sub Left 6",,,,"1295379604","2"
"27","27","1","Park Directory","<iframe src=""http://o.hcs.state.or.us/MDPCRParks/ParkDirQuery.jsp"" width=""725"" height=""370""></iframe>","<iframe src=""http://o.hcs.state.or.us/MDPCRParks/ParkDirQuery.jsp"" width=""725"" height=""370""></iframe>",,"1328636758","2"
"215","215","1","Unidentified from Chuck, February 2012 - 1",,,,"1328750114","0"
"216","216","1","Unidentified from Chuck, February 2012 - 2",,,,"1328750148","0"
"217","217","1","Johnny Smith, Esq.","100 Main Street
Prineville, OR 97000","100 Main Street
Prineville, OR 97000",,"1328902856","2"
"218","218","3","Phil Querin Q&A   Resident Couple Divorces - One Moves Out - How to Document","<p>Question:  A few years ago, a married couple originally applied together for residency in our community.  Based on their combined credit scores, they were both approved for residency.  They have since divorced and one of them has moved out.  How do we deal with this?</p>
<p>We have several questions listed below. Answer:  First, please understand that Oregon law does not directly deal with this – and neither is it addressed in most rental/lease agreements, including MHCO’s.  So my responses are based upon my opinion alone.  Until an appellate court rules on these issues – which is unlikely, since most such cases are never appealed - the best we can do is speculate. My answers are in italics below.</p>
<p>1. Do we write a new lease for the remaining resident or keep the old lease with both residents on the lease?</p>
<p><em>I think I would prefer to see a new lease signed by the remaining resident – even if title remains in both their names. That way, the ex-spouse cannot argue that he or she has a right of occupancy a year or two down the road, when they patch things up, or one moves out and the other moves back in.  A new lease would require than any new occupants be qualified all over again. Note that if the lease is changed into the name of the remaining resident, the ex-spouse would certainly have no liability for space rent going forward.</em></p>
<p>2. Can we legally keep the resident that moved out, responsible for the lease after a divorce and separation of assets?</p>
<p><em>Technically, yes.  Neither the divorce decree nor the parties themselves can – without your consent – alter their joint legal duties under a lease they both signed.  [This situation is not dissimilar to spouses jointly signing their mortgage and then divorcing; they both remain liable under the mortgage, even though one vacates the home.] The best a divorce court can do is to make the occupying ex-spouse primarily responsible for the rent and give indemnity rights to the non-occupying ex-spouse in case she or he end up having to pay for unpaid rent that should have been paid by the occupying ex-spouse.</em></p>
<p>3. Do we rescreen the remaining resident to see if he/she qualifies on their own?</p>
<p><em>I have a visceral reaction to doing so – if they did not pass the credit requirements, then what?  Deny them the right to stay in the community in which they have lived for a number of years?  Kick them out without waiting to see whether they can – or will make the payments?  That is like punishing the remaining ex-spouse for being divorced.  Remember, the occupying ex-spouse will likely be the custodial parent, if children are involved.  The non-custodial parent will likely have some child support obligation, which would then make the custodial parent’s individual credit score less important.   The same may be said even if there are no children; there may be a spousal support obligation by the non-occupying ex-spouse.  It seems to me that it will become clear soon enough, whether the occupying ex-spouse can or will make the space rental payments, independent of what their current credit score may be.</em></p>
<p>4. If we do rescreen the remaining resident and he/she fails the credit or criminal background, what are our options?</p>
<p><em>Before you re-screen, re-read my answer to Question No. 3 above.  If the lease agreement or rules do not address the possibility of spouses divorcing – and I have never seen any that do – the ultimate decision on whether you may re-screen could be left up to a judge.  I submit that judges do not like to evict people out of their homes unless there is a compelling reason to do so.  A case in which a resident is being evicted for no reason other than that they no longer meet the credit criteria – with no evidence that they are in default under the lease or rules – would be a very difficult sell to most judges.  It is unlikely that you would prevail.  I compare this situation to requiring a resident to be re-screened upon a job loss or death of a spouse. In cases of such unplanned events occurring after residents have been approved, I suggest that you let the situation play itself out.  If a resident cannot afford to pay the space rent, you will then have sufficient cause to evict.  But to try to evict because you doubt the ability of the resident to pay rent in the future, is premature and likely to fail. </em></p>
<p><em></em> 5. Who owns the security deposit or pre-paid rent?</p>
<p><em>That depends upon whether you have the remaining resident sign a new lease. If a new lease is signed, you could issue a refund check to both of them under the first least, and require the remaining occupant to pay a new deposit under the new lease.  It would be preferable, however, to see if they could agree to authorize you to leave the existing deposit in place, but permitting you to refund it, if appropriate, to the remaining occupant at the end of his/her tenancy.  If no agreement can be reached, simply hold the deposit until expiration of the tenancy by the occupying non-spouse, and then, if a refund is in order, make the check out to both of them.</em></p>","<p>Question:  A few years ago, a married couple originally applied together for residency in our community.  Based on their combined credit scores, they were both approved for residency.  They have since divorced and one of them has moved out.  How do we deal with this?</p>",,"1329150523","2"
"29","29","1","MHCO 2013 Management Training Seminars","<h2>MHCO 2013 Community Management Training Seminar Schedule and Registration Form</h2>
<p>MHCO Seminars Also Qualify for Real Estate License CRE's! <strong><span style=""text-decoration: underline;""><em>&nbsp;The ONLY seminars in the industry that qualify!!</em></span></strong></p>
<p><strong>Wilsonville - Salem/Keizer - Medford - Bend - Eugene</strong></p>
<p><strong>Next Seminar is Wilsonville on March 6th<br></strong></p>
<h2 style=""text-align: center;"">It Pays You to Participate</h2>
<p><strong>MHCO</strong> represents nearly 500 manufactured home communities in Oregon. In addition to <strong>MHCO</strong> advocacy for landlords, <strong>MHCO</strong>'s legal staff has been responsible for drafting pro-landlord legislation for over a decade. Our seminar leaders are experts in the manufactured housing community industry. They will cover <a href=""http://www.mhco.org/forms/oregon-laws"">ORS Chapter 90</a>, the legal guideline for Oregon’s manufactured home community management. <strong>The MHCO seminars will cover a wide range of 'hot topics' and will allow ample time for you to share your community problems and successes as well as ample Q &amp; A time</strong>. The speakers will cover a broad range of management concerns and fair housing issues.  MHCO's continuing goal is to help you improve the way you do business every day by offering quality instruction on Oregon and Federal law while increasing and improving your management professionalism and effectiveness.</p>
<p><strong>Sign up starts on Monday the 27th. MHCO Seminars ALWAYS sell out! &nbsp;</strong></p>
<h3 style=""text-align: center;"">Management, to a Higher level</h3>
<p style=""text-align: center;""><strong>MHCO Seminars are acknowledged to be the best in the manufactured home community industry.</strong></p>","<h2>MHCO 2013 Community Management Training Seminar Schedule and Registration Form</h2>",,"1390603285","2"
"30","30","1","Home Image 4",,,,"1296765506","2"
"31","31","1","Home Image 5",,,,"1296765490","2"
"32","32","1","History","<p>MHCO is a non-profit trade association dedicated exclusively to Manufactured Home Community Owners and related businesses.  MHCO’s funding comes primarily through nearly 500 regular and associate members’ dues and various program revenues.</p> <p>The MHCO association keeps a watchful eye on government, alerting its members to newly enacted laws and regulations on the industry.  Through publications and programs, MHCO translates complicated laws and regulations into understandable terms for members, saving park owners thousands of dollars in fines and court awards.  MHCO strives to help protect your investment.</p> <p>Manufactured home community owners continue to face a challenging regulatory environment.  MHCO works diligently to monitor Oregon governmental agencies. The legislative focus continues to be to protect landlords from state sponsored rent control and other onerous regulations generated by either the Legislature or state agencies.  MHCO will continue to communicate with the Oregon tenants association and other government entities to ensure that regulations that are passed into law are reasonable and acceptable to the owners of manufactured home communities.</p>","<p>MHCO is a non-profit trade association dedicated exclusively to Manufactured Home Community Owners and related businesses.  MHCO’s funding comes primarily through nearly 500 regular and associate members’ dues and various program revenues.</p>",,"1298918589","2"
